Nest,Treatment,Siphonaptera,Diptera,Protocalliphora,Acari,Ixodida,Coleoptera,Dermestidae,Histeridae,Staphylinidae,Hymenoptera,Lepidoptera,Collembola,Psocodea,Hemiptera
1,1,1037,4,3,6,1,55,1,49,5,2,0,0,0,0
2,1,10,1,0,20,5,12,0,3,8,0,2,0,0,0
3,1,95,0,0,9,0,12,0,12,0,0,0,0,0,0
4,1,13,0,0,57,2,3,0,1,2,2,0,0,0,0
5,0,430,1,0,5,0,15,0,15,0,0,0,0,0,0
6,1,7,0,0,74,0,3,1,0,2,0,0,2,0,0
7,1,700,0,0,51,1,6,2,2,2,0,0,0,0,0
8,0,149,0,0,21,1,7,0,3,4,0,0,0,0,0
9,0,0,0,0,58,6,4,0,3,1,0,0,0,4,0
10,1,6,0,0,25,0,2,0,2,0,0,0,0,0,0
11,1,6,0,0,40,1,407,0,1,5,0,0,0,0,0
12,0,616,14,0,183,2,16,0,16,0,5,1,0,0,0
13,0,139,1,0,4,4,20,0,10,10,0,0,0,0,0
14,0,401,5,3,10,4,11,0,6,5,1,1,0,0,1
15,0,21,12,3,42,1,2,0,2,0,1,0,0,0,0
16,0,310,6,0,18,7,15,1,10,1,0,0,0,0,0
17,0,143,4,0,57,11,3,0,2,1,1,1,0,0,0
18,0,265,9,0,63,2,19,0,18,1,0,0,0,0,0
19,0,156,0,0,46,2,8,0,5,2,0,0,0,0,0
20,0,122,0,0,3,1,7,0,7,0,0,1,0,0,0
21,1,563,8,0,24,0,22,0,11,2,0,0,0,0,0
22,1,1238,2,2,194,0,4,0,1,2,0,0,0,0,0