Natural nests;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Date of sampling (1=1 April);Year;Nest;Contamination;Feather treatment;Plant treatment;Sampling;Presence Enterobacteriaceae (1st);Presence Staphylococcus (1st);Presence Enterococcus (1st);log mesophilic bacterial density (1st);log number of feathers (1st);log pigmented feathers (1st);log unpigmented feathers (1st);Sampling;Presence Enterobacteriaceae (2nd);Presence Staphylococcus (2nd);Presence Enterococcus (2nd);log mesophilic bacterial density (2nd);log number of feathers (2nd);log pigmented feathers (2nd);log unpigmented feathers (2nd)
36;2012;10;No Cont;UnPigmented;No plants;1;0;0;0;0.848192481;2.564949357;2.197224577;1.609437912;2;0;0;0;1.020076524;2.397895273;1.098612289;2.197224577
35;2012;106;No Cont;UnPigmented;No plants;1;0;0;0;1.346060424;3.044522438;2.890371758;1.386294361;2;0;0;0;0.806932841;2.708050201;2.079441542;2.079441542
22;2012;111;No Cont;UnPigmented;Plants;1;0;0;0;0.468973279;1.791759469;0;1.791759469;2;0;0;0;0.746891434;2.564949357;2.079441542;1.791759469
36;2012;114;No Cont;UnPigmented;Plants;1;0;0;0;0.480096877;2.63905733;2.302585093;1.609437912;2;0;0;1;0.751584966;2.302585093;1.098612289;2.079441542
24;2012;13;No Cont;UnPigmented;Plants;1;1;0;0;0.543716784;2.397895273;1.609437912;1.945910149;2;0;0;0;0.747714533;3.17805383;1.791759469;2.944438979
23;2012;20;No Cont;UnPigmented;No plants;1;0;0;0;0.766105079;1.386294361;0.693147181;1.098612289;2;0;0;0;1.113058154;3.218875825;2.708050201;2.397895273
39;2012;27;No Cont;UnPigmented;No plants;1;0;1;1;0.870466562;1.791759469;1.386294361;1.098612289;2;0;0;0;1.392019835;3.135494216;0.693147181;3.091042453
39;2012;33;No Cont;UnPigmented;No plants;1;0;0;0;1.423240335;1.098612289;1.098612289;0;2;0;0;0;1.075156057;3.044522438;1.609437912;2.833213344
26;2012;4;No Cont;UnPigmented;No plants;1;0;0;0;0.91303959;1.386294361;2.48490665;0;2;0;0;0;0.343851927;3.135494216;1.791759469;2.890371758
24;2012;40;No Cont;UnPigmented;Plants;1;0;0;0;0.93815755;2.48490665;2.397895273;0.693147181;2;0;0;0;0.680368408;3.63758616;3.044522438;2.890371758
21;2012;43;No Cont;UnPigmented;Plants;1;0;0;0;0.727536582;2.564949357;2.48490665;0.693147181;2;0;0;0;1.19749931;2.890371758;2.197224577;2.302585093
34;2012;51;No Cont;UnPigmented;Plants;1;0;0;0;1.441305089;2.833213344;2.564949357;1.609437912;2;0;0;0;1.400372032;3.433987204;2.944438979;2.564949357
19;2012;53;No Cont;UnPigmented;Plants;1;0;0;0;0.680992547;2.302585093;1.945910149;1.386294361;2;0;0;0;0.707749134;3.044522438;1.791759469;2.772588722
22;2012;55;No Cont;UnPigmented;No plants;1;0;0;0;1.442240483;3.891820298;3.688879454;2.302585093;2;0;0;0;0.217769057;3.135494216;2.833213344;1.945910149
22;2012;61;No Cont;UnPigmented;No plants;1;0;0;0;-0.480930478;3.555348061;0;3.555348061;2;0;0;0;1.176981537;3.135494216;2.63905733;2.302585093
21;2012;7;No Cont;UnPigmented;Plants;1;0;0;0;1.563450485;2.890371758;2.708050201;1.386294361;2;0;0;0;1.103776681;3.610917913;3.295836866;2.397895273
22;2012;74;No Cont;UnPigmented;Plants;1;0;0;0;1.765463195;1.098612289;0.693147181;0.693147181;2;0;0;0;2.126828067;3.465735903;0.693147181;3.433987204
39;2012;87;No Cont;UnPigmented;Plants;1;1;1;1;1.04804759;2.079441542;1.386294361;1.609437912;2;0;0;0;1.428152887;2.302585093;1.098612289;2.079441542
19;2012;88;No Cont;UnPigmented;No plants;1;0;1;1;1.659716215;1.098612289;1.098612289;0;2;1;0;0;0.825595193;4.143134726;3.931825633;2.564949357
25;2012;93;No Cont;UnPigmented;No plants;1;0;0;1;1.433010025;1.386294361;1.386294361;0;2;0;0;0;1.126349504;2.890371758;1.945910149;2.48490665
25;2012;95;No Cont;UnPigmented;Plants;1;0;0;0;1.282508477;3.891820298;2.890371758;3.465735903;2;0;0;0;2.006705452;3.401197382;2.079441542;3.135494216
25;2012;103;No Cont;No feathers;Plants;1;0;0;1;0.932313221;1.098612289;0.693147181;0.693147181;2;0;0;0;0.354831804;3.688879454;3.218875825;2.772588722
42;2012;105;No Cont;No feathers;Plants;1;0;1;1;1.033634661;2.397895273;2.302585093;0.693147181;2;0;0;0;0.502155744;1.945910149;1.386294361;1.386294361
22;2012;107;No Cont;No feathers;No plants;1;0;1;0;1.704955119;2.708050201;1.386294361;2.48490665;2;0;0;0;1.143965067;3.36729583;2.564949357;2.833213344
22;2012;15;No Cont;No feathers;Plants;1;0;0;0;1.106019272;3.044522438;3.044522438;0;2;0;0;0;0.834129432;2.564949357;2.564949357;0
21;2012;36;No Cont;No feathers;Plants;1;0;0;0;0.560745863;2.833213344;2.397895273;1.945910149;2;0;0;0;0.978707533;2.564949357;1.945910149;1.945910149
32;2012;37;No Cont;No feathers;Plants;1;0;0;1;0.840532853;3.931825633;3.33220451;3.17805383;2;0;0;0;1.143062924;2.995732274;2.397895273;2.302585093
24;2012;56;No Cont;No feathers;No plants;1;0;0;0;1.490274816;2.772588722;0.693147181;2.708050201;2;0;0;0;1.054206281;2.772588722;1.386294361;2.564949357
21;2012;6;No Cont;No feathers;Plants;1;0;0;0;1.33156495;2.833213344;1.386294361;2.63905733;2;0;0;0;1.67526664;3.36729583;2.397895273;2.944438979
24;2012;70;No Cont;No feathers;Plants;1;0;1;0;1.015517749;0.693147181;0.693147181;0;2;0;0;0;0.519205809;2.302585093;1.791759469;1.609437912
21;2012;72;No Cont;No feathers;No plants;1;1;0;0;1.755166559;1.386294361;1.386294361;0;2;0;0;0;0.933852717;2.890371758;2.708050201;1.386294361
22;2012;84;No Cont;No feathers;Plants;1;0;0;0;0.946726892;1.098612289;0;1.098612289;2;0;0;0;1.275846429;2.944438979;2.564949357;1.945910149
22;2012;85;No Cont;No feathers;No plants;1;1;0;0;1.895194006;1.386294361;1.098612289;0.693147181;2;0;0;0;1.870192781;2.63905733;1.098612289;2.48490665
26;2012;89;No Cont;No feathers;No plants;1;0;0;0;1.005337178;1.098612289;0.693147181;0.693147181;2;0;0;0;1.718600808;2.772588722;2.197224577;2.079441542
33;2012;9;No Cont;No feathers;No plants;1;0;0;0;0.931637534;1.609437912;1.098612289;1.098612289;2;0;0;0;0.962460226;1.609437912;1.098612289;1.098612289
39;2012;91;No Cont;No feathers;No plants;1;0;0;0;1.965372638;2.708050201;2.564949357;1.098612289;2;0;0;0;1.156057268;2.944438979;2.63905733;1.791759469
21;2012;92;No Cont;No feathers;No plants;1;0;0;0;0.690234503;2.397895273;1.945910149;1.609437912;2;0;0;0;0.955843123;2.397895273;2.302585093;0.693147181
35;2012;96;No Cont;No feathers;Plants;1;0;0;0;0.946970365;1.609437912;0.693147181;1.386294361;2;0;0;0;1.433904855;4.110873864;3.17805383;3.63758616
37;2012;100;No Cont;Pigmented;Plants;1;0;0;1;0.896288683;1.098612289;0;1.098612289;2;0;0;0;0.864925678;2.197224577;2.079441542;0.693147181
35;2012;104;No Cont;Pigmented;Plants;1;0;0;0;0.740425111;3.218875825;2.995732274;1.791759469;2;0;0;0;0.739754095;2.48490665;2.302585093;1.098612289
23;2012;106;No Cont;Pigmented;Plants;1;0;0;0;0.461940162;1.945910149;1.386294361;1.386294361;2;0;0;0;0.740597141;3.295836866;2.944438979;2.197224577
21;2012;110;No Cont;Pigmented;Plants;1;0;0;0;0.135659324;1.098612289;1.098612289;0;2;0;0;0;0.761767505;3.663561646;3.17805383;2.772588722
29;2012;115;No Cont;Pigmented;Plants;1;0;0;1;1.518343668;2.833213344;2.397895273;1.945910149;2;0;0;1;1.01975982;3.091042453;2.833213344;1.791759469
25;2012;17;No Cont;Pigmented;No plants;1;0;0;0;1.187879652;1.609437912;0.693147181;1.386294361;2;0;0;0;1.369745604;3.526360525;3.295836866;2.079441542
24;2012;18;No Cont;Pigmented;Plants;1;0;1;0;1.422487325;2.708050201;2.564949357;1.098612289;2;0;0;0;0.834100666;3.258096538;2.944438979;2.079441542
22;2012;32;No Cont;Pigmented;No plants;1;0;0;0;0.03420697;3.258096538;2.772588722;2.397895273;2;0;0;0;0.949347729;3.295836866;2.833213344;2.397895273
31;2012;34;No Cont;Pigmented;No plants;1;0;0;0;1.804979549;3.583518938;3.465735903;1.609437912;2;0;0;0;1.255629414;1.945910149;1.386294361;1.386294361
25;2012;38;No Cont;Pigmented;Plants;1;0;0;0;-0.48722793;2.564949357;2.302585093;1.386294361;2;0;0;0;0.950528804;3.295836866;2.944438979;2.197224577
39;2012;71;No Cont;Pigmented;No plants;1;1;1;1;1.298750036;1.098612289;0.693147181;0.693147181;2;0;0;0;0.29421308;2.564949357;2.48490665;0.693147181
39;2012;79;No Cont;Pigmented;Plants;1;0;0;0;0.386801908;3.496507561;3.044522438;2.564949357;2;0;0;0;0.570576372;3.761200116;3.044522438;3.135494216
21;2012;8;No Cont;Pigmented;No plants;1;0;0;0;1.235412919;2.197224577;1.386294361;1.791759469;2;0;0;0;1.292078619;2.890371758;1.791759469;2.564949357
21;2012;90;No Cont;Pigmented;Plants;1;0;0;0;1.252351047;2.772588722;2.079441542;2.197224577;2;0;0;0;0.98377053;3.258096538;2.833213344;2.302585093
37;2012;99;No Cont;Pigmented;No plants;1;0;0;0;-0.525155821;1.609437912;0.693147181;1.386294361;2;0;0;0;0.688263867;2.397895273;2.197224577;1.098612289
20;2013;103;Cont;UnPigmented;Plants;1;0;0;0;1.034353972;2.995732274;2.772588722;1.609437912;2;0;0;0;0.892431312;3.33220451;0;3.33220451
44;2013;104;No Cont;UnPigmented;No plants;1;0;0;0;1.388223261;2.197224577;0.693147181;2.079441542;2;0;0;1;1.676021326;2.995732274;0;2.995732274
17;2013;111;Cont;UnPigmented;Plants;1;1;0;0;0.950564659;2.708050201;2.079441542;2.079441542;2;0;0;0;1.479031145;4.33073334;2.833213344;4.094344562
18;2013;114;No Cont;UnPigmented;Plants;1;0;0;1;1.11737396;1.386294361;1.098612289;0.693147181;2;0;0;0;0.809660083;2.995732274;1.609437912;2.772588722
29;2013;115;No Cont;UnPigmented;Plants;1;0;0;0;0.990818258;1.945910149;0.693147181;1.791759469;2;0;0;0;1.236882412;2.708050201;0;2.708050201
19;2013;14;Cont;UnPigmented;No plants;1;1;0;0;1.530377555;2.564949357;2.079441542;1.791759469;2;0;0;0;1.049717299;3.33220451;0.693147181;3.295836866
19;2013;16;Cont;UnPigmented;Plants;1;0;0;0;1.062130276;2.48490665;2.079441542;1.609437912;2;0;0;0;0.757822854;2.944438979;1.098612289;2.833213344
20;2013;18;Cont;UnPigmented;Plants;1;0;0;1;1.216508161;3.496507561;2.564949357;3.044522438;2;0;0;0;1.624846857;3.33220451;0;3.33220451
34;2013;19;Cont;UnPigmented;Plants;1;0;0;0;1.685752862;2.708050201;1.945910149;2.197224577;2;0;0;0;1.942820836;2.63905733;1.098612289;2.48490665
19;2013;20;Cont;UnPigmented;No plants;1;0;0;0;1.098572446;3.17805383;2.995732274;1.609437912;2;0;0;0;1.311180539;3.63758616;0.693147181;3.610917913
36;2013;28;Cont;UnPigmented;No plants;1;0;0;0;1.58601402;2.833213344;0.693147181;2.772588722;2;0;0;0;1.286766482;2.995732274;0.693147181;2.944438979
32;2013;33;No Cont;UnPigmented;Plants;1;0;0;0;1.688172881;2.197224577;0.693147181;2.079441542;2;0;0;0;1.731041013;2.944438979;0.693147181;2.890371758
17;2013;43;No Cont;UnPigmented;No plants;1;0;0;0;0.879120754;2.63905733;2.302585093;1.609437912;2;0;0;0;2.611039701;2.397895273;1.945910149;1.609437912
19;2013;51;Cont;UnPigmented;No plants;1;0;0;0;0.564629488;1.791759469;1.098612289;1.386294361;2;0;0;1;1.311871842;3.465735903;1.609437912;3.33220451
20;2013;55;Cont;UnPigmented;No plants;1;0;0;0;1.352823842;1.945910149;0.693147181;1.791759469;2;0;0;0;0.696415882;3.610917913;0;3.610917913
21;2013;66;Cont;UnPigmented;Plants;1;0;0;1;0.89857231;1.945910149;1.609437912;1.098612289;2;0;0;1;1.376089319;2.708050201;0.693147181;2.63905733
18;2013;72;Cont;UnPigmented;Plants;1;0;0;0;0.843647084;0.693147181;0.693147181;0;2;0;0;0;1.297977353;3.258096538;0;3.258096538
19;2013;79;Cont;UnPigmented;No plants;1;0;0;1;1.61117816;1.386294361;0;1.386294361;2;0;0;0;0.938357764;3.63758616;0;3.63758616
19;2013;96;No Cont;UnPigmented;No plants;1;0;0;0;0.454622261;1.386294361;0.693147181;1.098612289;2;0;0;0;0.881440042;3.713572067;0;3.713572067
20;2013;98;Cont;UnPigmented;Plants;1;0;0;0;1.542793486;1.609437912;1.609437912;0;2;0;0;0;1.281749691;2.944438979;1.945910149;2.564949357
45;2013;10;No Cont;No feathers;Plants;1;0;0;0;1.930254107;1.098612289;0;1.098612289;2;0;0;0;1.598251731;2.302585093;0.693147181;2.197224577
19;2013;15;Cont;No feathers;No plants;1;0;0;0;1.071772655;2.302585093;1.386294361;1.945910149;2;0;0;0;0.150618274;3.828641396;0;3.828641396
19;2013;17;Cont;No feathers;Plants;1;0;0;0;1.178476487;3.17805383;2.772588722;2.197224577;2;0;0;0;0.876611203;3.33220451;0;3.33220451
26;2013;32;No Cont;No feathers;No plants;1;0;0;0;1.212831853;3.688879454;3.33220451;2.564949357;2;0;0;0;1.43469606;2.564949357;0;2.564949357
17;2013;36;No Cont;No feathers;Plants;1;1;0;0;0.635366653;2.079441542;1.386294361;1.609437912;2;0;0;0;0.971905209;3.465735903;1.098612289;3.401197382
18;2013;38;Cont;No feathers;No plants;1;0;0;0;-0.180651136;1.609437912;0.693147181;1.386294361;2;0;0;0;0.580881371;3.218875825;1.386294361;3.091042453
17;2013;42;Cont;No feathers;No plants;1;1;0;0;2.14865293;2.708050201;2.564949357;1.098612289;2;0;0;0;1.288011155;2.890371758;2.197224577;2.302585093
28;2013;47;No Cont;No feathers;No plants;1;0;0;0;1.204716208;2.48490665;0;0;2;0;0;1;1.714458918;2.944438979;2.197224577;2.397895273
17;2013;48;No Cont;No feathers;No plants;1;0;0;0;1.35084433;1.386294361;0;1.386294361;2;0;0;0;1.289220822;4.204692619;2.302585093;4.060443011
34;2013;49;No Cont;No feathers;Plants;1;0;0;0;1.668498569;2.944438979;1.609437912;2.708050201;2;1;0;0;1.112473906;3.044522438;0;3.044522438
19;2013;50;Cont;No feathers;No plants;1;0;0;0;1.127744186;1.791759469;0.693147181;1.609437912;2;0;0;0;1.373343884;2.890371758;0;2.890371758
31;2013;64;Cont;No feathers;Plants;1;0;0;0;2.107452768;1.386294361;0;1.386294361;2;0;1;1;1.853562647;2.772588722;1.098612289;2.63905733
19;2013;69;Cont;No feathers;Plants;1;0;0;0;1.119475105;0;0;0;2;0;0;0;1.028509796;2.708050201;1.945910149;2.197224577
29;2013;70;Cont;No feathers;No plants;1;0;0;0;1.485669324;1.609437912;0.693147181;1.386294361;2;0;0;1;1.583915767;2.397895273;2.197224577;1.098612289
21;2013;74;Cont;No feathers;No plants;1;0;0;0;1.646823282;1.791759469;0.693147181;1.609437912;2;0;0;0;1.526541294;2.564949357;0;2.564949357
21;2013;80;No Cont;No feathers;Plants;1;0;0;1;1.352913386;1.945910149;1.386294361;1.386294361;2;0;0;0;1.813225865;3.433987204;1.791759469;3.258096538
23;2013;88;No Cont;No feathers;Plants;1;0;0;0;2.099466487;2.397895273;1.098612289;2.197224577;2;0;0;1;1.902683134;2.995732274;0;2.995732274
17;2013;9;Cont;No feathers;Plants;1;0;0;0;-0.143719139;2.890371758;2.564949357;1.791759469;2;0;0;0;1.109869676;3.17805383;2.079441542;2.833213344
19;2013;93;Cont;No feathers;Plants;1;0;0;0;1.862225349;1.609437912;0;1.609437912;2;1;0;0;1.056544508;3.295836866;1.098612289;3.218875825
19;2013;94;No Cont;No feathers;No plants;1;0;0;0;1.122697057;0;0;0;2;0;0;0;0.594748604;3.761200116;1.098612289;3.713572067
20;2013;97;Cont;No feathers;Plants;1;0;0;0;0.71875358;2.397895273;1.098612289;2.197224577;2;0;0;0;1.441652774;2.995732274;1.098612289;2.890371758
31;2013;100;Cont;Pigmented;Plants;1;0;0;0;2.081127963;2.197224577;0;2.197224577;2;0;0;1;1.682181488;2.890371758;1.945910149;2.48490665
20;2013;104;Cont;Pigmented;No plants;1;0;0;0;1.269127527;2.302585093;2.197224577;0.693147181;2;0;0;0;1.220309457;1.945910149;1.945910149;0
18;2013;109;Cont;Pigmented;No plants;1;0;0;0;1.445281832;3.401197382;3.295836866;1.386294361;2;0;0;0;1.406642751;3.80666249;2.995732274;3.258096538
26;2013;110;No Cont;Pigmented;Plants;1;0;0;0;1.420027476;2.197224577;1.945910149;1.098612289;2;0;0;0;1.427692034;2.564949357;1.945910149;1.945910149
20;2013;113;Cont;Pigmented;Plants;1;0;0;0;0.780432234;0.693147181;0;0.693147181;2;0;0;0;0.834971857;2.772588722;2.564949357;1.386294361
45;2013;116;Cont;Pigmented;Plants;1;0;0;0;1.048517132;1.791759469;0;1.791759469;2;0;0;0;1.485730351;2.708050201;2.397895273;1.609437912
17;2013;13;Cont;Pigmented;Plants;1;0;0;0;1.322572683;1.609437912;1.609437912;0;2;0;0;0;1.233866137;3.433987204;2.708050201;2.833213344
17;2013;34;Cont;Pigmented;No plants;1;0;0;0;1.891635604;3.044522438;2.708050201;1.945910149;2;0;0;0;1.233455788;3.850147602;2.772588722;3.465735903
18;2013;35;Cont;Pigmented;Plants;1;0;0;0;1.331411118;2.079441542;1.791759469;1.098612289;2;0;0;0;1.459558109;3.401197382;2.302585093;3.044522438
36;2013;4;No Cont;Pigmented;No plants;1;0;0;0;1.971797263;1.791759469;0.693147181;1.609437912;2;0;0;0;1.39031909;2.995732274;2.890371758;1.098612289
18;2013;40;No Cont;Pigmented;No plants;1;0;0;1;1.532282445;1.791759469;1.609437912;0.693147181;2;0;0;0;1.317242905;2.995732274;1.791759469;2.708050201
19;2013;53;No Cont;Pigmented;Plants;1;0;0;0;0.731271975;1.386294361;1.098612289;0.693147181;2;0;0;0;0.780576558;3.33220451;2.397895273;2.890371758
19;2013;6;Cont;Pigmented;No plants;1;0;0;0;1.028579788;1.386294361;0;1.386294361;2;0;0;0;0.60232889;3.63758616;2.772588722;3.135494216
29;2013;60;Cont;Pigmented;Plants;1;0;0;0;1.692964937;2.079441542;0;2.079441542;2;0;0;0;1.276263578;2.302585093;2.079441542;1.098612289
20;2013;61;No Cont;Pigmented;No plants;1;0;0;0;0.886867928;2.197224577;1.098612289;1.945910149;2;0;0;0;1.215800592;3.433987204;2.302585093;3.091042453
18;2013;7;Cont;Pigmented;No plants;1;0;0;0;1.155111481;1.791759469;1.386294361;1.098612289;2;0;0;0;1.242053322;4.219507705;2.833213344;3.951243719
19;2013;71;No Cont;Pigmented;No plants;1;0;0;0;1.386595795;1.386294361;0.693147181;1.098612289;2;0;0;0;1.041139591;3.044522438;2.302585093;2.48490665
20;2013;8;Cont;Pigmented;No plants;1;0;0;0;1.50140786;1.609437912;0.693147181;1.386294361;2;0;0;0;0.701247701;3.610917913;1.945910149;3.433987204
31;2013;84;Cont;Pigmented;Plants;1;0;0;0;1.539977769;2.708050201;2.302585093;1.791759469;2;0;0;0;1.629380724;2.564949357;1.945910149;1.945910149
