"paper_ID","fulltext_screening","fulltext_notes","variable_note","authors","year_publication","population_location","experiment_ID","group_ID","repeated_trait_ID","bird_species","treatment_plant_species","control_plant_species","comparision_type","CH","PCH","measure_central_tendency_experiment","type_measure_central_tendency_experiment","measure_dispersion_experiment","type_measure_dispersion_experiment","n_experiment","measure_central_tendency_control","type_measure_central_tendency_control","measure_dispersion_control","type_measure_dispersion_control","n_control","fitness_proxy","trait_type","proxy_decision","proxy_comment","proxies_sign","statistics_type","test_statistics_type","statistics_value","p_value","sign_relationship","total_sample_size","DF","data_location","parasite_type","time_of_gnm_addition","extractor_ID","extractor_comments","data_checker_ID","data_checker_comments","blinding","random_assignment","missing_data","shared_experiment","shared_control","treatment_comparison","control_comparsion"
"GNM_004","excluded","No fitness proxy measured","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","JMGS","I did not include this paper in the analysis because the only data that could fit to one of our hypothesis is that birds discrminate the smell of plants used for GNM only during spring (which should be the reproductive season) which could me somehow related to the CH, however it does not have a clear and direct link to any fitness proxy such as female choice and so on. Exclusion criteria -> GNM is not the independent variable","SD","Authors use green nest material to study the olfaction capabilities of female birds using brain imaging. There is no fitness proxy that is measured","NA","NA","NA",NA,NA,NA,NA
"GNM_153","excluded","Green nest material is not the independent variable","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","JMGS","excluded because GNM was not the independent variable",NA,NA,"NA","NA","NA",NA,NA,NA,NA
"GNM_266","excluded","Not empirical","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","JMGS","book chapter seemingly only reporting studies from previous papers","SD","NA","NA","NA","NA",NA,NA,NA,NA
"GNM_375","excluded","Not experimental","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","JMGS","Even though the authors describe it as an experiment, it would lie more into the categorie of observational studies according to the following criteria: i) The same nests were used in different categories of color as they aged without properly controling for other factors relating to the nest; ii)  the same individuals were repeatedly sampled, without acknowledging it; iii)For the experimentally green painted nests, there is no control with other color to make comparison of the  manipulation; iv) The comparison between colors is not properly controled in relation to the attractiveness of the other nests; v) There is no symetry in the comparissson among groups regarding sample size (as it was not properly designed as an experiment) ***The data is shown in contigency tables, I don't know if we aim to collect it.","SD","NA","NA","NA","NA",NA,NA,NA,NA
"GNM_360","excluded","Green nest material is not the independent variable","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SD","Authors study how with different volatile cues birds change the addition of green nest material","TR","NA","NA","NA","NA",1,1,NA,NA
"GNM_142","excluded","No fitness proxy measured","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SD","Authors study the effect of addition of green nest material on addition of feathers by females in context of honest signalling.","TR","NA","NA","NA","NA",1,1,NA,NA
"GNM_158","excluded","Green nest material is not the independent variable","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SD","Exclude: Green nest material is not the independent variable. Authors study the effect of hormones on addition of green nest material","TR","NA","NA","NA","NA",1,1,NA,NA
"GNM_141","excluded","Green nest material is not the independent variable","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SD","Authors test nest preference and vary the entrance type and colour (green/brown) of the nest","TR","NA","NA","NA","NA",1,1,NA,NA
"GNM_376","excluded","Green nest material is not the independent variable","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","SD","Authors have measured male displays and acceptance of nest in relation to green painted and brown painted nests in weaver birds. We do not consider this as ""Green nest material"" because it not an extra material that is specifically selected by the birds to be added to the nest. Here the entire nest is painted green but no extra material is added.","TR","NA","NA","NA","NA",1,1,NA,NA
"GNM_003","excluded","No fitness proxy measured","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","TR","none of the parameters that relate to relevant hypotheses measured, testing whether birds can detect aromatic plants","JMGS","Exclusion criteria -> the dependent variable is not a fitness proxy given the experimental setup","NA","NA","NA",NA,NA,NA,NA
"GNM_011","excluded","No fitness proxy measured","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","TR","Study on preference for aromatic over non-aromatic plants, no variables of fitness measured","NA","I assigned another exclusion criteria based on our decision trees -> ""Exclusion criteria -> the presence of GNM was not experimentally manipulated""","NA","NA","NA",NA,NA,NA,NA
"GNM_020","excluded","No fitness proxy measured","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","TR","no fitness proxies measured",NA,"ok","NA","NA","NA",NA,NA,NA,NA
"GNM_034","excluded","No fitness proxy measured","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","JS/SD/TR","about olfaction, doesn't test for any of our hypotheses","JMGS","I assigned another exclusion criteria based on our decision trees -> ""Exclusion criteria -> the dependent variable is not a fitness proxy""","NA","NA","NA",NA,NA,NA,NA
"GNM_036","excluded","No fitness proxy measured","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","TR","only about addition or non-addition of GNM","JMGS","I added a comment about two possible exclusion criterias to be assigned. Exclusion criteria - I am not sure about which exclusion criteria I would assign here, because They experimentally removed the green nest material, thus depending on how broadly we want to consider experimental manipulation it could fit to this criteria; The response variable is the number of odour classess which is not a fitness proxy, so it could also be assigned this reason to this exclusion","NA","NA","NA",NA,NA,NA,NA
"GNM_217","excluded","Green nest material is not the independent variable","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","JS/SD/TR",NA,"JMGS","ok -> The experimental setup does not allow the data extraction because there are no control groups but instead a timeline of events during which they included the stimuli","NA","NA","NA",NA,NA,NA,NA
"GNM_267","excluded","Not experimental","NA","NA","NA","NA",NA,NA,NA,"NA","NA","NA",NA,NA,NA,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","NA","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","TR","Couldn't determine control since correlation between yolk testosterone and amount of GNM is measured","JMGS","Exclusion criteria -> GNM was not manipulated","NA","NA","NA",NA,NA,NA,NA
"GNM_161","excluded","No birds+No nests","Contingency Table","Lafuma, L","2001","Montpellier",NA,NA,NA,"Gallus_gallus","NA","NA",NA,0,1,NA,"NA",NA,"NA",NA,NA,"NA",NA,"NA",NA,"NA","NA","check","NA","NA",NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","TR/JMGS/SD","NA","JMGS","We need to decide if we will include or not contigency table data -> We decided in group to not include it, as it is just one paper","NA","NA","yes?",NA,NA,NA,NA
